"","Longitude","Latitude"
"200",-75.169914,40.080818
"201",-75.168243,40.079834
"202",-75.163399,40.07695
"203",-75.161285,40.075764
"204",-75.158417,40.074169
"205",-75.154076,40.071732
"206",-75.151596,40.070328
"207",-75.148331,40.068485
"208",-75.146683,40.067547
"209",-75.145187,40.066692
"210",-75.143117,40.065493
"211",-75.140709,40.064133
"212",-75.139427,40.063358
"213",-75.136948,40.061935
"214",-75.136719,40.061821
"215",-75.136528,40.061729
"216",-75.135193,40.061031
"217",-75.135124,40.060989
"218",-75.130135,40.057796
"219",-75.129021,40.057091
"220",-75.12632,40.055481
"221",-75.124916,40.054684
"222",-75.123756,40.054058
"223",-75.122147,40.053177
"224",-75.118652,40.051186
"225",-75.118553,40.051132
"226",-75.117104,40.050304
"227",-75.114506,40.048806
"228",-75.112363,40.047563
"229",-75.110985,40.046769
"230",-75.109431,40.045874
"231",-75.109406,40.04584
"232",-75.107033,40.04897
"233",-75.106531,40.04938
"234",-75.104568,40.050563
"235",-75.10323,40.051355
"236",-75.102445,40.051773
"237",-75.102413,40.051792
"238",-75.101899,40.052091
"239",-75.100935,40.052699
"240",-75.100896,40.052723
"241",-75.100303,40.053085
"242",-75.09772,40.054531
"243",-75.094056,40.056771
"244",-75.093483,40.057259
"245",-75.093552,40.057331
"246",-75.092255,40.058662
"247",-75.091133,40.059822
"248",-75.087425,40.063599
"249",-75.089378,40.064705
"250",-75.09037,40.065285
"251",-75.096733,40.068989
"252",-75.093407,40.072029
"253",-75.090317,40.075115
"254",-75.089088,40.076374
"255",-75.086906,40.078648
"256",-75.082456,40.082884
"257",-75.077805,40.08577
"258",-75.076363,40.087265
"259",-75.07127,40.092532
"260",-75.069456,40.094411
"261",-75.063745,40.100321
"262",-75.060318,40.103859
"263",-75.058342,40.105892
"264",-75.054321,40.108692
"265",-75.052134,40.110221
"266",-75.0493,40.112199
"267",-75.048542,40.112729
"268",-75.044216,40.115747
"269",-75.043856,40.115997
"270",-75.037842,40.120213
"271",-75.033263,40.123385
"272",-75.024891,40.129216
"273",-75.020571,40.132274
"274",-75.019598,40.133229
"275",-75.01795,40.134848
"276",-75.015066,40.137992
"277",-75.009117,40.134355
"278",-75.005946,40.132524
"279",-75.003909,40.131339
"280",-75.003255,40.131012
"281",-74.997885,40.127816
"282",-74.993595,40.132266
"283",-74.992324,40.130879
"284",-74.993768,40.126643
"285",-74.9903,40.126378
"286",-74.988605,40.124643
"287",-74.988632,40.124416
"288",-74.98778,40.123917
"289",-74.987193,40.123286
"290",-74.982958,40.123353
"291",-74.982748,40.120887
"292",-74.980058,40.119883
"293",-74.97994,40.119742
"294",-74.973219,40.119891
"295",-74.970119,40.117201
"296",-74.966331,40.11808
"297",-74.96408,40.117766
